S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Cerqueira C&eacute;sar,3511409,cerqueirense,DIEGO AUGUSTO BERTI CINTO,511.621,21469,41.96,22210,99.71,0.729,8.06,143045517.1,135240203.5,65239.1,
Cerquilho,3511508,cerquilhense,PAULO ROBERTO PILON,127.803,44695,349.72,46391,99.78,0.782,6.28,290186454.2,306513880.8,64690.18,
Ces&aacute;rio Lange,3511607,cesariano-lange,RAMIRO DE CAMPOS,190.392,19048,100.05,19707,99.36,0.706,19.92,123506309.6,114317602.3,63832.64,
Charqueada,3511706,charqueadense,RODRIGO DE ARRUDA,175.846,15535,88.34,15814,99.64,0.736,16.85,100932269.7,88136152.07,50892.01,
Clementina,3511904,clementinense,GILSON ROBERTO RODRIGUES CRIOLEZIO,168.59,6982,41.41,7084,96.13,0.725,23.81,54742997.68,44445725.56,36394.63,
Colina,3512001,colinense,VALDEMIR ANTONIO MORALLES,422.303,18486,43.77,18880,99.5,0.757,4.9,176326170.6,155481100.5,111034.1,
Col&ocirc;mbia,3512100,colombiense,JULIO C&Eacute;SAR DOS SANTOS,728.648,6629,9.10,6802,96.91,0.710,9.62,93527495.47,84064634.88,112148.6,
Conchal,3512209,conchalense,ORLANDO CALEFFI JUNIOR,182.793,28101,153.73,29132,99.1,0.708,24.19,200410319.8,176795759.3,38919.04,
Conchas,3512308,conchense,PAULO NUNES DE ALMEIDA,467.327,15232,32.68,15345,98.96,0.736,5.35,110333974.5,90895541.24,36180.62,
Cordeir&oacute;polis,3512407,cordeiropolense,MARIA CRISTINA DEGASPARI ABRAH&Atilde;O SAAD,137.678,24514,178.18,25286,98.67,0.758,14.65,320369996,289524944.9,170021.84,
Coroados,3512506,coroadense,ROBERTO CARRILHO ALVES,246.826,5400,21.88,5504,99.68,0.719,21.28,48807693.86,49473856.11,62111.95,
Coronel Macedo,3512605,macedense,DIEGO GARCIA BATISTA,303.83,4280,14.09,4271,100,0.690,22.73,53524932.33,44773651.93,38749.81,
Corumbata&iacute;,3512704,corumbataiense,JO&Atilde;O BATISTA ALTARUGIO FILHO,278.622,4195,15.06,4296,100,0.754,-,51353389.55,44525858.38,84530.06,
Cosm&oacute;polis,3512803,cosmopolense,ANTONIO CLAUDIO FELISBINO JUNIOR,151.645,59773,386.47,61167,99.03,0.769,11.48,362491715.3,332562280.4,38702.49,
Cosmorama,3512902,cosmoramense,NELSON NARCISO DA SILVEIRA JUNIOR,441.68,8719,19.74,9019,99.26,0.722,11.9,71470356.31,56762190.93,100748.62,
Cotia,3513009,cotiano,WELINGTON APARECIDO ALFREDO,324,274413,846.97,289493,98.8,0.780,12.08,1916168897,1814620464,69460.17,
Cravinhos,3513108,cravinhense,ITAMAR GOMES BUENO,311.423,33281,106.87,34307,99.13,0.756,25.5,268860651.7,272303672.3,70831.8,
Cristais Paulista,3513207,cristalense,ELSON GOMES DOS SANTOS,385.23,9272,24.07,9600,99.41,0.734,-,69895450.47,61707024.82,48443.85,
Cruz&aacute;lia,3513306,cruzaliense,ARILDO OSMAR DE MORO,149.33,2108,14.12,2123,97.93,0.774,-,37080833.08,30369714.88,103509.77,
Cruzeiro,3513405,cruzeirense,JOSE KLEBER LIMA SILVEIRA JUNIOR,305.669,74961,245.21,76444,98.92,0.788,14.47,408094850.5,403287651.6,57122.53,
Cubat&atilde;o,3513504,cubatense,CESAR DA SILVA NASCIMENTO,143.649,112476,787.21,114870,99.02,0.737,23.01,1989789041,2040281782,247282.87,
Cunha,3513603,cunhense,RODRIGO SERGIO DO NASCIMENTO,1407.098,22110,15.71,22460,97.92,0.684,4.37,122167182.6,122773446.9,19581.21,
Descalvado,3513702,descalvadense,LUIS GUILHERME PANONE,753.926,31756,42.13,32663,98.32,0.760,9.26,218357167,197027626.1,81385.67,
Diadema,3513801,diademense,TAKAHARU YAMAUCHI,30.806,393237,12795.69,403579,98.71,0.757,12.53,2057978425,2165903559,53985.47,
Dirce Reis,3513850,dircense,MARCELO JOS&Eacute; BERNARDO,88.152,1620,18.38,1639,95.83,0.741,-,32283557.29,27730737.22,61410.78,
Divinol&acirc;ndia,3513900,divinolandense,ANTONIO DE PADUA AQUISTI,223.749,11158,49.87,11305,99.7,0.734,23.81,77036994.79,87910733.54,47372.66,
Dobrada,3514007,dobradense,ANTONIO CARLOS DE MATTOS SANTOS,149.729,8759,58.50,8986,99.12,0.718,27.03,50104787.6,44541746.31,24404.03,
Dois C&oacute;rregos,3514106,dois-correguense,ALCEU ANTONIO MAZZIERO,632.972,24510,38.72,24847,99.19,0.725,24.56,176091328.8,174053944.5,48433.16,
Dolcin&oacute;polis,3514205,dolcinopolense,DIEGO APARECIDO PEREIRA MIGUEL,77.939,2207,28.32,2254,100,0.742,-,29828243.89,24311571.49,38237.49,
Dourado,3514304,douradense,LUIZ ANTONIO ROGANTE JUNIOR,205.874,8096,39.33,8169,99.28,0.738,12.2,72502084.77,64990908.97,145521.22,
Dracena,3514403,dracenense,GENI PEREIRA LOBO PESIN,487.271,45474,93.24,46735,99.3,0.776,13.39,262198725.7,249133171.3,40797.46,
Duartina,3514502,duartinense,SUZY HELENA SIM&Atilde;O BLAGITZ FERRAZ,264.557,12328,46.60,12532,99.92,0.748,13.61,78642384.06,68418754.67,35348.77,
Dumont,3514601,dumonense,ROGERSON APARECIDO BURJALON RUIZ,111.361,9471,85.04,9764,97.98,0.744,11.76,72318901.94,68986737.61,43712.57,
Echapor&atilde;,3514700,echaporense,RONALDO GAZETA,515.258,6205,12.04,6291,99.57,0.745,12.66,56809369.71,50710356.54,30201.92,
Eldorado,3514809,eldoradense,NOEL CASTELO DA COSTA,1654.256,13069,7.90,13109,99.48,0.691,30.3,100188054.8,86023766.25,32442.82,
Elias Fausto,3514908,elias-faustense,JOAQUIM ANTONIO DE CAMPOS BICUDO,202.36,17699,87.46,18168,99.42,0.695,11.11,143975618.6,120519138.7,122013.02,
Elisi&aacute;rio,3514924,elisiarense,CASSIO ROBERTO BERTELLI,93.314,3138,33.39,3190,100,0.747,-,34555364.49,29220315.18,38868.88,
Emba&uacute;ba,3514957,embaubense,NERCILIO PINHEIRO DA SILVA,83.129,2323,27.94,2349,97.29,0.730,-,30037265.75,27131747.47,40048.06,
Embu das Artes,3515004,embuense,HUGO DO PRADO SANTOS,70.264,250691,3561.05,259788,98.73,0.735,14.41,1500039360,1382112324,68971.96,
Embu-Gua&ccedil;u,3515103,embu-gua&ccedil;uense,ANDR&Eacute; GEORGE NERES DE FARIAS,155.285,66970,430.29,68913,98.87,0.749,6.22,314769066.2,313901289.4,26025.38,
Emilian&oacute;polis,3515129,emilian&oacute;polense,ELTON MUNHOZ DE SOUZA,225.177,3014,13.39,3061,100,0.727,24.39,33631435.66,29750968.23,32470.45,
Engenheiro Coelho,3515152,engenheiro coelhense,PEDRO FRANCO DE OLIVEIRA,109.574,19566,177.97,20261,98.89,0.732,7.12,125811886.7,119716558.8,41622.72,
Esp&iacute;rito Santo do Pinhal,3515186,pinhalense,SERGIO DEL BIANCHI JUNIOR,389.235,39816,102.29,40610,98.21,0.787,21.79,218236266.6,191940220.2,68194.87,
Esp&iacute;rito Santo do Turvo,3515194,esp&iacute;rito santense,GILBERTO NASCIMENTO BERTOLINO,193.666,4157,21.46,4214,99.17,0.696,-,46411362.81,40444620.54,43735.71,
Estrela d'Oeste,3515202,estrelense,PEDRO DE SENZI NETO,296.281,9417,31.78,9696,99.44,0.760,10.1,82955239.03,84240468.13,139870.72,
Estrela do Norte,3515301,estrelense,ALBERTO MARTINS DE OLIVEIRA,264.987,2703,10.20,2751,98.22,0.740,62.5,36965356.44,33404099.97,25783.13,
Euclides da Cunha Paulista,3515350,euclidense,DOMINGOS MENTE LOPES,571.169,7924,13.81,7883,99.47,0.704,-,56502199.85,55481203.93,20470.52,
Fartura,3515400,farturense,LUIZ MARCOS DE SOUZA,429.171,16641,38.77,17029,98.9,0.732,6.02,107073871.9,91846845.97,34036.1,
Fernand&oacute;polis,3515509,fernandopolense,JO&Atilde;O PAULO SALES CANTARELLA,549.797,71186,129.48,73508,99.52,0.797,10.4,399282516.3,398976686.5,39203.05,
Fernando Prestes,3515608,fernando-prestense,MARIEL SEBASTI&Atilde;O ROCHA,169.99,5942,34.95,6080,100,0.758,22.22,53807199.26,47517917.22,47401.85,
Fern&atilde;o,3515657,fern&atilde;oense,EBER ROG&Eacute;RIO ASSIS,100.504,1656,16.48,1692,98.46,0.703,-,33318076.66,30725111.4,61977.28,
Ferraz de Vasconcelos,3515707,ferrazense,PRISCILA CONCEI&Ccedil;&Atilde;O GAMBALE VIEIRA MATOS,29.58,179198,6064.85,186479,98.26,0.738,13.6,732618633.7,652083106,30826.13,
Flora Rica,3515806,flora-riquense,FABIO LUIZ FLORENTINO DE FARIA,224.619,1487,6.62,1483,100,0.727,-,30526862.7,26662260.91,44159.24,
Floreal,3515905,florealense,RAUL SCALON,204.236,2733,13.38,2747,97.64,0.747,-,40100062.45,37222405.1,47995.34,
Fl&oacute;rida Paulista,3516002,floridense,JOS&Eacute; ANDRIOTTI,524.138,12958,24.72,13175,99.52,0.715,-,71982931.56,61126219.27,27912.05,
Flor&iacute;nea,3516101,florinense ou florineano,SERGIO LOPES DA SILVA,225.886,3851,17.05,4022,98.72,0.713,-,47809917.9,43032628.54,56131.18,
Franca,3516200,francano,ALEXANDRE AUGUSTO FERREIRA,605.679,352536,582.05,365494,98.98,0.780,11.28,1458423545,1338255640,40777.87,
Francisco Morato,3516309,moratense,ILDO DA SILVA GUSM&Atilde;O,49.001,165139,3370.11,171476,98.69,0.703,11.65,693735232.8,639197034.2,13549.01,
Franco da Rocha,3516408,franco-rochense,LORENA RODRIGUES DE OLIVEIRA,132.775,144849,1090.94,150241,98.78,0.731,12.55,790316490.6,789145192.6,37543.16,
Gabriel Monteiro,3516507,monteirense,RENEE CREMA VIDOTO,138.681,2763,19.92,2813,99.17,0.763,34.48,34464155.16,30850221.84,44862.8,
G&aacute;lia,3516606,galiense,JOSE SILVINO ZANIBONI JUNIOR,355.914,6380,17.93,6413,100,0.709,-,46350021.65,39936026.81,34615.85,
Gar&ccedil;a,3516705,garcense,JOS&Eacute; ALCIDES FANECO,555.807,42110,75.76,43081,98.04,0.769,28.63,288839412.9,274172127.9,44971.87,
Gast&atilde;o Vidigal,3516804,vidigalense,DANIEL GUARNIERI CRIADO,180.569,3252,18.01,3203,98.59,0.723,-,35206623.07,34118840.42,31347.5,
Gavi&atilde;o Peixoto,3516853,gavionense,ADRIANO MAR&Ccedil;AL DA SILVA,243.766,4702,19.29,4806,98.6,0.719,-,92213960.53,84900757.23,369126.5,
General Salgado,3516903,salgadense,THIAGO FRANCISQUINI VIANA,493.88,10312,20.86,10437,99.13,0.747,36.04,80265347.3,79736233.98,33836.64,
Getulina,3517000,getulinense,MARIO TADEU CELESTINO RIBEIRO,676.755,10232,15.12,10337,95.2,0.717,-,69016187.16,61200545.59,26665.42,
Glic&eacute;rio,3517109,glicerense,HAIRTON KELSINE CARVALHO OLIVEIRA,272.8,4138,15.17,4158,99.39,0.735,-,49511388.55,43055965.39,45527.19,
Guai&ccedil;ara,3517208,guai&ccedil;arense,FLAVIA RAMOS BITTENCOURT LE&Atilde;O CABRAL,277.154,11239,40.55,11478,100,0.739,13.07,76962054.78,70979664.22,27658.37,
Guaimb&ecirc;,3517307,guaimbeense,MARCIA HELENA PEREIRA CABRAL ACHILLES,217.811,5512,25.31,5609,100,0.728,18.87,47179885.23,44429044.76,107723.57,
Gua&iacute;ra,3517406,guairense,ANTONIO MANOEL DA SILVA JUNIOR,1258.465,39279,31.21,40489,99.38,0.753,23.2,359463129.8,353255717.6,82333.01,
Guapia&ccedil;u,3517505,guapia&ccedil;uense,CARLOS CESAR ZAITUNE,324.752,21711,66.78,22445,99.02,0.725,11.76,141752995.9,136286703.6,52235.12,
Guapiara,3517604,guapiense,JOS&Eacute; MATHEUS RODOLFO DE FREITAS,408.292,17071,41.81,17225,99.45,0.675,-,102588731.7,91531094.96,34279.33,
Guar&aacute;,3517703,guaraense,TULIO DE MATTOS FIGUEIREDO,362.183,18606,51.37,18748,97.84,0.718,10.75,142873056.4,134359674.7,45937.59,
Guara&ccedil;a&iacute;,3517802,guara&ccedil;aiense,AIRTON JOS&Eacute; GOMES,569.222,7441,13.07,7453,98.11,0.719,-,59922965,54596088.27,50323.11,
Guaraci,3517901,guaraciense,RENATO AZEDA RIBEIRO DE AGUIAR,641.501,10350,16.13,10554,99.71,0.737,11.11,109018951.3,104914553.4,63815.03,
Guarani d'Oeste,3518008,guaraniense,EDMILSON PIRES DO CARMO,85.7,1968,22.96,1999,98.05,0.732,-,30579496.84,26956289.81,24728.3,
Guarant&atilde;,3518107,guarant&atilde;ense,MARCOS ROBERTO FRUGERI,461.746,6427,13.92,6532,99.64,0.713,-,50531228.69,44970912.33,48552.28,
Guararapes,3518206,guararapense,ALEX PERAMO DE ARRUDA,955.637,31043,32.48,31888,99.67,0.763,14.39,198589408.2,178007504.7,55358.31,
Guararema,3518305,guararemense,JOS&Eacute; LUIZ EROLES FREIRE,270.816,31236,115.34,32620,99.16,0.731,9.17,421621172.6,392650164.7,65138.39,
Guaratinguet&aacute;,3518404,guaratinguetaense,ANTONIO GILBERTO FILIPPO FERNANDES JUNIOR,752.636,118044,156.84,121916,98.92,0.798,11.33,653124417.5,570979283.7,70904.25,
Guare&iacute;,3518503,guareiense,REINALDO VICENTE DE SOUZA,567.719,15013,26.44,15285,99.67,0.687,6.94,92417327.87,83423186.17,25724.46,
Guariba,3518602,guaribense,FRANCISCO DIAS MANCANO JUNIOR,270.408,37498,138.73,38678,99.79,0.719,5.31,224629565,207893377.1,40482,
Guaruj&aacute;,3518701,guarujaense,FARID SAID MADI,144.794,287634,1986.50,294871,98.49,0.751,13.49,2664438126,2594277252,40107.77,
Guarulhos,3518800,guarulhense,LUCAS SANCHES PROMESSIA,318.838,1291771,4053.57,1349100,97.76,0.763,13.31,7413937528,6770423310,75522.42,
Guatapar&aacute;,3518859,guataparaense,GILDEMIR DE SOUZA,413.653,7320,17.70,7474,99.29,0.743,22.73,59860166.02,50775143.42,48333.08,
Guzol&acirc;ndia,3518909,guzolandense,LUIZ ANTONIO PEREIRA DE CARVALHO,252.722,4246,16.82,4259,99.49,0.697,54.55,38416122.9,31586160.38,28298.6,
Hercul&acirc;ndia,3519006,herculandense,PAULO SERGIO DE OLIVEIRA,364.252,9125,25.05,9316,100,0.727,18.35,67643413.39,66315002.71,60568.7,
Holambra,3519055,holambrense,FERNANDO HENRIQUE CAPATO,65.337,15094,230.17,15718,100,0.793,9.3,163919161.6,158115322.3,119692.14,
Hortol&acirc;ndia,3519071,hortolandense,JOSE NAZARENO ZEZE GOMES,62.416,236641,3791.35,248842,97.02,0.756,7.44,1645180347,1587532666,93660.54,
Iacanga,3519105,iacanguense,APARECIDA DE F&Aacute;TIMA PINHEIRO,547.393,10437,19.07,10648,98.58,0.745,32.26,94311360.2,84314960.12,65874.34,
Iacri,3519204,iacriense,CLEBER ROGERIO CERBANTES PANHOZZI,321.948,6131,19.04,6197,99.09,0.733,55.56,49948235.56,48676786.2,60697.04,
Iaras,3519253,iarense,PATRICK HERNANDES MORALES,401.381,8010,19.96,8313,99.47,0.674,14.08,57488608.22,51079108.02,40699.95,
Ibat&eacute;,3519303,ibateense,RONALDO RODRIGO VENTURI,290.977,32178,110.59,33160,99.47,0.703,9.52,174010853.2,169919137.9,47138.96,
Ibir&aacute;,3519402,ibiraense,NIVALDO DOMINGOS NEGR&Atilde;O,268.9,11690,42.99,11952,94.42,0.740,31.01,82737195.01,75786126.02,35772.27,
Ibirarema,3519501,ibiraremense,JOSE BENEDITO CAMACHO,228.23,6385,27.98,6450,99.63,0.708,16.39,62687755.62,54707477.24,51900.86,
Ibitinga,3519600,ibitinguense,FLORISVALDO ANTONIO FIORENTINO,689.391,60033,87.08,62143,96.16,0.747,20.59,335279969.5,318919956.5,42124.09,
Ibi&uacute;na,3519709,ibiunense,MARIO PIRES DE OLIVEIRA FILHO,1058.01,75605,71.45,77801,98.18,0.710,10.64,395319651.4,373438405.2,39990.75,
Ic&eacute;m,3519808,icense,APARECIDA SALISSO,362.355,7819,21.58,7982,98.23,0.720,13.16,82435760.92,76061144.61,33755.19,
Iep&ecirc;,3519907,iepense,MARTA PATRICIA STONIS DA COSTA,594.985,7619,12.81,7739,99.46,0.736,32.61,74276693.84,67406904.63,66115.2,
Igara&ccedil;u do Tiet&ecirc;,3520004,iguara&ccedil;uense,CARLOS ALBERTO VARASQUIM,97.747,23106,236.39,23421,97.58,0.727,17.54,113743217.2,113833722.9,20686.23,
Igarapava,3520103,igarapavense,JOS&Eacute; HUMBERTO LACERDA RODRIGUES,468.355,26212,55.97,26696,99.31,0.768,11.28,216618714.8,213201236.3,54254.63,
Igarat&aacute;,3520202,igaratense,GABRIEL GOMES PRIANTI DE JESUS,293.002,10605,36.20,10984,98.52,0.711,8.06,96448621.48,88311379.67,33301.58,
Iguape,3520301,iguapense,SALVADOR JOS&Eacute; BARBOSA JUNIOR,1978.329,29115,14.71,29891,99.15,0.726,7.02,197075524.3,206103228.4,65150.27,
Ilhabela,3520400,ilhabelense,ANTONIO LUIZ COLUCCI,346.389,34934,100.85,36559,99.12,0.756,16.33,939802386.9,1185512474,424535.26,
Ilha Comprida,3520426,ilha compridense,MARISTELA OS&Oacute;RIO DE MARQUES CARDONA,196.567,13419,68.27,14104,99.71,0.725,35.71,143899723.8,143598049,208848.38,
Ilha Solteira,3520442,ilhense,RODRIGO BATISTA GON&Ccedil;ALVES,652.641,25549,39.15,26257,100,0.812,19.9,237297817,212984948.9,35920.47,
Indaiatuba,3520509,indaiatubano,CUST&Oacute;DIO TAVARES DIAS NETO,311.545,255748,820.90,269657,98.62,0.788,7.12,2508036212,2226609290,110518.41,
Indiana,3520608,indianense,WHESLEN THIEGO SCAIONE CACHOEIRA,129.019,5090,39.35,5200,99.42,0.761,33.9,36739926.08,32432920.06,19623.89,
Indiapor&atilde;,3520707,indiapor&atilde;ense,BERNADETE APARECIDA SANTANA RIBEIRO SPONQUIADO,279.606,4035,14.43,4113,99.19,0.751,-,45787394.23,38533745.21,41409.5,
In&uacute;bia Paulista,3520806,inubense,FERNANDO ROSSI,87.119,3615,41.49,3671,100,0.759,38.46,34293477.39,27440232,48885.98,
Ipaussu,3520905,ipau&ccedil;uense,LUIZ CARLOS SOUTO,209.554,13712,65.43,13935,99.77,0.727,14.08,98204168.02,89772041.17,49454.34,
Iper&oacute;,3521002,iperoense,LEONARDO ROBERTO FOLIM,170.289,36459,214.10,38277,98.42,0.719,9.26,207222291.9,189589426.9,35409.71,
Ipe&uacute;na,3521101,ipeunense,MARIA LUISA ZANONI PRATA,190.01,6831,35.95,7027,99.32,0.753,11.76,61782054.51,53534060.83,154556.57,
Ipigu&aacute;,3521150,ipiguaense,EFRAIM GARCIA LOPES,136.028,6761,49.70,7115,100,0.730,11.76,46585695.71,41632720.37,25601.33,
Iporanga,3521200,iporanguense,MARCOS DOS SANTOS DOMINGOS,1152.059,4046,3.51,4083,99.82,0.703,-,48532137.77,40823818.03,17505.86,
Ipu&atilde;,3521309,ipu&atilde;nense,RONYWERTON MARCELO ALVES PEREIRA,466.461,14454,30.99,14701,100,0.749,6.41,116926395.5,110209015.2,40805.98,
Iracem&aacute;polis,3521408,iracemapolense,NELITA CRISTINA MICHEL FRANCESCHINI,115.31,21967,190.82,22500,99.57,0.776,9.85,165698534.1,149488957.7,109426.76,
Irapu&atilde;,3521507,irapuense,RENI APARECIDA DA SILVA,257.611,6867,26.66,6932,98.25,0.713,10,49509622.92,43130774.58,41126.49,
Irapuru,3521606,irapuruense,ADEMAR CALEG&Atilde;O,214.078,7085,33.04,7120,100,0.712,15.63,43427510.84,37867257.4,20101.87,
Itaber&aacute;,3521705,itaberaense,C&Eacute;LIO RONALDO GOMES DE LIMA,1100.247,17983,16.34,18263,98.72,0.693,17.39,144042756.3,128651426.1,58842.16,
Ita&iacute;,3521804,itaiense,JOSE RAMIRO ANTUNES DO PRADO,1092.884,25180,23.04,25979,99.63,0.713,14.65,213807903.2,180990494.2,43000.5,
Itajobi,3521903,itajobiense,SIDIOMAR UJAQUE,502.066,16989,33.84,17502,96.66,0.730,14.15,144871389.5,124922113.9,75256.6,
Itaju,3522000,itajuense,JERRI DE SOUZA NEIVA,230.355,3618,15.71,3715,100,0.705,-,43178399,35992249.49,85214.08,
Itanha&eacute;m,3522109,itanhaense,TIAGO RODRIGUES CERVANTES,601.018,112476,186.93,118495,98.32,0.745,6.87,734753247.1,700319755.3,26284.77,
Itaoca,3522158,itaoquense,FREDERICO DIAS BATISTA,183.015,3422,18.70,3497,99.18,0.680,23.26,39691708.64,62794665.74,19866.08,
Itapecerica da Serra,3522208,itapecericano,RAMON PIRES CORSINI,151.012,158522,1051.61,163003,98.8,0.742,10.53,811067133.4,767345870.9,39206.76,
Itapetininga,3522307,itapetiningano,JEFERSON RODRIGO BRUN,1789.35,157790,88.18,164256,99.08,0.763,10.92,854810258.2,847524967.6,50464.55,
Itapeva,3522406,itapevense,ADRIANA DUCH MACHADO,1826.258,89728,49.13,92393,98.64,0.732,11.46,659695921.3,607161729.1,50803.67,
Itapevi,3522505,itapeviense,MARCOS FERREIRA GODOY,82.583,232297,2810.34,242995,98.98,0.735,11.82,1423169094,1410644865,67220.4,
Itapira,3522604,itapirense,ANTONIO H&Eacute;LIO NICOLAI,518.431,72022,138.93,74038,98.53,0.762,8.17,547367147.2,546178235.8,88389.29,
Itapirapu&atilde; Paulista,3522653,itapirapu&atilde; paulistense,JULIO CESAR DO AMARAL,406.478,4306,10.59,4420,98.7,0.661,-,39756475.5,32891041.75,17953.57,
It&aacute;polis,3522703,itapolitano,VLADIMIR DO CARMO REGGIANI,996.747,39493,39.62,40445,98.25,0.744,18.67,267675897.3,238751165.9,63931.8,
Itaporanga,3522802,itaporanguense,FABIO BRUNO GURGEL BENINI,507.997,14085,27.73,14245,99.78,0.719,31.25,87440801.73,77297473.34,28988.78,
