S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Santa Rita do Passa Quatro,3547502,santa-ritense,MARCELO SIMAO,752.911,24833,32.93,24996,98.83,0.775,9.85,174931219,167006391.6,39954.08,
Santa Rosa de Viterbo,3547601,santa-rosense,OMAR NAGIB MOUSSA,288.576,23411,81.13,23710,98.22,0.770,4.98,132167966.7,119233695.1,48352.85,
Santa Salete,3547650,saletense,J&Uacute;LIO CESAR MARTINS MILIATTI,79.192,1645,20.77,1692,99.04,0.772,-,29434130.52,24671445.81,40206.39,
Santo Anast&aacute;cio,3547700,anastaciano,LUIZ INFANTE,552.876,17963,32.49,17960,95.18,0.753,10.87,101593387.7,87260943.13,35098.41,
Santo Andr&eacute;,3547809,andreense,GILVAN FERREIRA DE SOUZA JUNIOR,175.801,748919,4260.50,782048,98.25,0.815,8.4,4351170371,4529441326,49312.88,
Santo Ant&ocirc;nio da Alegria,3547908,alegriense,DENILSON DE CARVALHO,310.311,6775,21.83,6933,99.63,0.702,-,58731831.28,51551420.26,41761.9,
Santo Ant&ocirc;nio de Posse,3548005,possense,JOS&Eacute; RICARDO CORTEZ,154.133,23244,150.80,23867,99.65,0.702,14.39,190234541.2,178636583.2,92363.18,
Santo Ant&ocirc;nio do Aracangu&aacute;,3548054,aracanguaense,LUIZ CARLOS DOS REIS NONATO,1308.889,8379,6.40,8593,100,0.757,26.32,96878944.02,83842093.04,45377.66,
Santo Ant&ocirc;nio do Jardim,3548104,jardinense,OSVALDO MOREIRA,109.956,6126,55.71,6243,100,0.714,15.63,43532928.03,39125912.22,41420.69,
Santo Ant&ocirc;nio do Pinhal,3548203,pinhalense,ANDERSON JOSE MENDON&Ccedil;A,132.966,7133,53.63,7314,100,0.706,10.64,61437977.34,56618025.29,26881.74,
Santo Expedito,3548302,expeditense,ANDERSON JOSE BETIO,94.465,3000,31.76,3069,100,0.732,32.26,28989293.27,26899314.76,20085.22,
Sant&oacute;polis do Aguape&iacute;,3548401,santopolitano,GERSON ALVES DE LIMA JUNIOR,128.026,3899,30.45,3921,100,0.740,-,40854018.61,41978631.1,25083.83,
Santos,3548500,santista,ROG&Eacute;RIO PEREIRA DOS SANTOS,281.033,418608,1489.53,429547,97.71,0.840,8.04,5188075859,5171875879,73963.51,
S&atilde;o Bento do Sapuca&iacute;,3548609,sambentista,GILBERTO DONIZETI DE SOUZA,252.579,11674,46.22,11989,99.37,0.720,38.1,72112335.58,61146175.19,30389.59,
S&atilde;o Bernardo do Campo,3548708,s&atilde;o-bernardense,MARCELO DE LIMA FERNANDES,408.234,810729,1979.65,841154,98.25,0.805,8.7,6713152433,6585201422,88766.77,
S&atilde;o Caetano do Sul,3548807,sul-caetanense,ANACLETO CAMPANELLA JUNIOR,15.421,165655,10805.23,172693,98.51,0.862,4.46,2759824131,2734922612,136147.1,
S&atilde;o Carlos,3548906,s&atilde;o-carlense,ANTONIO DONATO NETTO,1136.907,254857,224.17,266427,98.79,0.805,11.78,1633952079,1685839654,72146.03,
S&atilde;o Francisco,3549003,s&atilde;o-francisquense,SEBASTI&Atilde;O DE OLIVEIRA BAPTISTA,75.579,2602,34.43,2623,100,0.723,-,30803574.83,31239102.79,22888.57,
S&atilde;o Jo&atilde;o da Boa Vista,3549102,s&atilde;o-joanense,VANDERLEI BORGES DE CARVALHO,516.399,92547,179.22,96080,99.19,0.797,7.54,676280497.3,684037089,54147.42,
S&atilde;o Jo&atilde;o das Duas Pontes,3549201,s&atilde;o-joanense,JOS&Eacute; CARLOS BARUCI J&Uacute;NIOR,129.462,2580,19.93,2623,100,0.720,30.3,31449480.77,29822485.84,28183.53,
S&atilde;o Jo&atilde;o de Iracema,3549250,iracemense,LUIZ AUGUSTO TORRES,178.396,1846,10.35,1882,100,0.748,-,34900530.99,31427445.58,37710.97,
S&atilde;o Jo&atilde;o do Pau d'Alho,3549300,s&atilde;o-joanense,LUCAS DE OLIVEIRA BARBOSA,117.514,2242,19.05,2293,100,0.750,-,29900137.52,25106924.46,37188.42,
S&atilde;o Joaquim da Barra,3549409,joaquinense,WAGNER JOSE SCHMIDT,410.863,48558,118.19,49885,99.04,0.762,7.09,286861037.9,261552160.1,56299.4,
S&atilde;o Jos&eacute; da Bela Vista,3549508,bela-vistense,WALTER C&Aacute;SSIO CARVALHO FACCIROLLI,276.952,7626,27.54,7664,98.65,0.693,-,51919148.19,49609364.14,44062.66,
S&atilde;o Jos&eacute; do Barreiro,3549607,barreirense,LUIS EDUARDO SANTOS RIBEIRO,570.604,3853,6.75,3888,98.61,0.684,48.78,53143007.65,44082801.21,20906.6,
S&atilde;o Jos&eacute; do Rio Pardo,3549706,rio-pardense,MARCIO CALLEGARI ZANETTI,419.729,52205,124.39,53427,98.92,0.774,9.62,339878777.9,370372919.9,55109.14,
S&atilde;o Jos&eacute; do Rio Preto,3549805,rio-pretense,F&Aacute;BIO ROG&Eacute;RIO CANDIDO,431.944,480393,1112.17,504166,98.39,0.797,9.06,3281046949,3157201623,54934.44,
S&atilde;o Jos&eacute; dos Campos,3549904,joseense,ANDERSON FARIAS FERREIRA,1099.494,697054,634.03,727078,99.09,0.807,9.77,4806703589,4887415434,88077.14,
S&atilde;o Louren&ccedil;o da Serra,3549953,s&atilde;o-lourensano,FELIPE GEFERSON SEME AMED,186.353,16067,86.17,16479,99.1,0.728,31.45,94949111.97,86082220.52,21542,
S&atilde;o Luiz do Paraitinga,3550001,luizense,ALEX EUZ&Eacute;BIO TORRES,618.126,10337,16.75,10487,100,0.697,29.7,71461717.03,67594214.44,24434.47,
S&atilde;o Manuel,3550100,s&atilde;o-manuelense,ODIRLEI JOS&Eacute; F&Eacute;LIX,650.734,37289,57.30,38131,98.99,0.744,15.11,234708957.8,234781233.2,50681.9,
S&atilde;o Miguel Arcanjo,3550209,s&atilde;o-miguelense,ELIAS RODRIGUES DE PAULA,930.339,32039,34.44,32924,99.01,0.710,22.22,165139463.7,144337850,36134.91,
S&atilde;o Paulo,3550308,paulistano,RICARDO LUIS REIS NUNES,1522.683,11451999,7528.26,11904961,97.72,0.805,10.99,1.09712E+11,1.23909E+11,93156.23,
S&atilde;o Pedro,3550407,s&atilde;o-pedrense,THIAGO SILVERIO DA SILVA,611.51,38256,62.58,39855,99.35,0.755,7.65,253060348.1,229120852.7,32496.26,
S&atilde;o Pedro do Turvo,3550506,s&atilde;o-pedrense,LUIZ FELIPE DE CASTRO TAVARES,731.221,7217,9.87,7333,98.57,0.703,-,68889005.38,58498422.6,54584.51,
S&atilde;o Roque,3550605,s&atilde;o-roquense,MARCOS AUGUSTO ISSA HENRIQUES DE ARA&Uacute;JO,306.899,79484,258.98,81366,97.99,0.768,9.21,585529437.3,566703384.2,57024.9,
S&atilde;o Sebasti&atilde;o,3550704,sebastianense,REINALDO ALVES MOREIRA FILHO,402.395,81595,202.77,84280,98.9,0.772,11.74,1646871455,2275810682,213255.95,
S&atilde;o Sebasti&atilde;o da Grama,3550803,gramense,JOS&Eacute; FRANCISCO MARTHA,252.41,10441,41.37,10428,98.06,0.701,12.5,66431401.98,59212981.41,46152.32,
S&atilde;o Sim&atilde;o,3550902,simonense,IZAIAS LEAO DE SOUZA,617.252,13442,21.78,13560,100,0.766,7.94,102276638.8,89749191.48,48213.92,
S&atilde;o Vicente,3551009,vicentino,KAYO FELYPE NACHTAJLER AMADO,147.774,329911,2226.86,338326,98.08,0.768,13.93,1652092492,1788500395,22474.72,
Sarapu&iacute;,3551108,sarapuiano,GUSTAVO DE SOUZA BARROS VIEIRA,352.592,10369,29.41,10677,98.98,0.707,-,71626936.1,63920225.99,26051.05,
Sarutai&aacute;,3551207,sarutaiano,JO&Atilde;O ANTONIO FULONI,141.608,3704,26.16,3772,97.22,0.688,-,42257210.19,36046762.77,31218.87,
Sebastian&oacute;polis do Sul,3551306,sebastianopolense,JOSE ANTONIO ABREU DO VALLE,167.848,3130,18.65,3191,100,0.773,-,57358445.41,52802784.15,145220.93,
Serra Azul,3551405,serra-azulense,DEBORA CRISTINA RIBEIRO DA SILVA,283.144,12746,45.02,13108,99.5,0.686,9.43,66188725.6,57087050.5,21127.94,
Serrana,3551504,serranense,LEONARDO CARESSATO CAPITELI,126.046,43909,348.36,45580,99.08,0.729,15.71,253280211.2,241221168.1,33126.12,
Serra Negra,3551603,serrano ou serra-negrense,ELMIR KALIL ABI CHEDID,204.542,29894,146.73,31047,98.5,0.767,3.94,201139844,212963032.6,34288.07,
Sert&atilde;ozinho,3551702,sertanezino,JOS&Eacute; ALBERTO GIMENEZ,403.089,126887,314.79,132176,99.18,0.761,19.43,957932105,864866651.1,71520.47,
Sete Barras,3551801,barrense,ITALO DONIZETH COSTA ROBERTO,1062.699,12730,11.98,12903,99.83,0.673,11.49,88924072.34,83000458.68,36280.39,
Sever&iacute;nia,3551900,severinense,GUILHERME AUGUSTO DE ALMEIDA SECCHIERI,140.46,14576,103.77,14693,99.59,0.715,26.49,105794500.1,98239177.83,23366.94,
Silveiras,3552007,silveirense,EDSON MENDES MOTA,415.038,6186,14.91,6329,99.52,0.678,12.66,53258555.73,47481639.48,18795.04,
Socorro,3552106,socorrense,MAURICIO DE OLIVEIRA SANTOS,448.894,40122,89.35,41527,97.22,0.729,15.67,224074422.7,208702739.8,36122.34,
Sorocaba,3552205,sorocabano,RODRIGO MAGANHATO,449.872,723682,1608.64,762172,98.66,0.798,10.86,5186769031,5261275982,81273.66,
Sud Mennucci,3552304,sud-mennucciano,JOS&Eacute; URBINO DOS SANTOS NETO,594.543,7355,12.37,7464,99.61,0.747,11.24,75948353.98,67624589.06,41169.36,
Sumar&eacute;,3552403,sumareense,HENRIQUE STEIN SCIASCIO,153.465,279545,1821.56,291116,98.62,0.762,10.21,1344423901,1254248871,68060.93,
Suzano,3552502,suzanense,PEDRO CHARLES SHIRAKAWA ISHI,206.236,307429,1490.67,320261,99.18,0.765,12.18,1582070486,1399883716,60562.59,
Suzan&aacute;polis,3552551,suzanapolense,GERSO ANTONIO DE OLIVEIRA,330.587,3408,10.31,3465,98.55,0.699,-,53112540.56,44145580.06,150089.22,
Tabapu&atilde;,3552601,tabapu&atilde;nense,SILVIO CESAR SARTORELLO,346.692,11323,32.75,11498,99.6,0.735,17.86,82520160.42,71726688.23,35122.41,
Tabatinga,3552700,tabatinguense,VALTER VALENTIM CAMARGO,368.604,14769,40.07,14997,98.12,0.704,-,98799054.92,96002839.82,34691.68,
Tabo&atilde;o da Serra,3552809,taboanense,DANIEL PLANA BOGALHO,20.371,273542,13416.81,285307,98.55,0.769,10.62,1197684225,1400206553,44176.69,
Taciba,3552908,tacibense,IZIDORO ARCESTI RICCI,606.755,6260,10.31,6418,100,0.723,22.47,68275237.2,54404060.38,38672.71,
Tagua&iacute;,3553005,tagua&iacute;no,EDER CARLOS FOGA&Ccedil;A DA CRUZ,145.332,12669,87.17,13068,97.6,0.709,5.46,80371730.96,73999422.92,32310.01,
Taia&ccedil;u,3553104,taia&ccedil;uense,SUELI APARECIDA MENDES BIANCARDI,107.059,5677,53.03,5744,98.99,0.710,-,45135375.77,38524672.51,27415.94,
Tai&uacute;va,3553203,taiuvense,MAURO VICENTE BERSI,132.459,6548,49.43,6770,100,0.760,-,45888700.32,38543370.85,28765.02,
Tamba&uacute;,3553302,tambauense,LEONARDO TEIXEIRA SPIGA REAL,561.788,21435,38.15,21650,98.1,0.731,-,154659932.3,137522949.1,45099.8,
Tanabi,3553401,tanabiense,ALEXANDRE SILVEIRA BERTOLINI,747.218,25265,33.81,26071,99.55,0.748,11.41,166442577.8,147054758.9,63030.55,
Tapira&iacute;,3553500,tapiraiense,ARALDO TODESCO,754.421,7996,10.59,8122,99.57,0.681,-,56729385.87,54111609.02,28008.3,
Tapiratiba,3553609,tapiratibense,RAMON JESUS VIEIRA,220.518,11816,53.25,11903,100,0.751,18.52,79091494.85,73815275.17,30353.14,
Taquaral,3553658,taquaralense,ARI FERNANDO JACINTO,53.892,2619,48.60,2649,100,0.759,35.71,32844878.22,26780583.29,35274.07,
Taquaritinga,3553708,taquaritinguense,FULVIO ZUPPANI,594.335,52260,87.93,53264,98.9,0.748,18.07,313382907.3,310397997,44147.43,
Taquarituba,3553807,taquaritubense,&Eacute;DER MIANO PEREIRA,448.515,24350,54.29,24932,98.67,0.701,6.99,168841133.3,164637485.9,52529.9,
Taquariva&iacute;,3553856,taquarivaiense,RUBENS CARLOS SOUTO DE BARROS,231.792,6876,29.66,7170,98.97,0.679,-,59688606.24,52705809.94,62974.66,
Tarabai,3553906,tarabaiense,RUBENS PINAFFI JUNIOR,201.385,6536,32.46,6633,99.6,0.726,24.1,53222329.57,47621941.86,28636.92,
Tarum&atilde;,3553955,tarumaense,ADRIANA BALEJO PIEDADE DA SILVA,302.913,14882,49.13,15315,99.74,0.753,22.73,131654687.6,118506374.6,77481.72,
Tatu&iacute;,3554003,tatuiano,MIGUEL LOPES CARDOSO JUNIOR,523.749,123942,236.64,129130,98.21,0.752,13.99,696109787.4,662201429.9,54739.59,
Taubat&eacute;,3554102,taubateano,SERGIO LUIZ VICTOR JUNIOR,624.924,310739,497.18,322397,98.68,0.800,12.04,1899745781,2071062723,72754.95,
Tejup&aacute;,3554201,tejupaense,VALTER BORANELLI,296.189,4127,13.93,4119,98.79,0.668,-,43565685.17,35659100.93,82657.46,
Teodoro Sampaio,3554300,teodorense,CLAUDIO EVANGELISTA DA SILVA JUNIOR,1559.776,22173,14.25,22598,100,0.741,14.39,144425066.5,130179768.8,37106.4,
Terra Roxa,3554409,terra-roxense,ROGERIO RAFAEL FURLINI,221.54,7904,35.68,7965,100,0.749,21.05,51458624.45,47844356.52,30038.74,
Tiet&ecirc;,3554508,tieteense,JOS&Eacute; CARLOS REGONHA JUNIOR,405.034,37663,93.13,38723,96.59,0.778,11.71,266676473.8,239083438.7,78457.58,
Timburi,3554607,timburiense,CRISTIANO DA CUNHA AMORIM,196.79,2464,12.52,2484,100,0.710,-,37843767.59,35349248.8,32576.16,
Torre de Pedra,3554656,torrepedrense,CIRO LUIZ PEDROSO,71.506,2046,28.68,2056,100,0.714,-,31237507.4,26384327.46,21547.77,
Torrinha,3554706,torrinhense,ARI RODOLFO BUZATO,315.267,9335,29.61,9484,99.51,0.744,12.2,67554686.72,59197932.91,40715.08,
Trabiju,3554755,trabijuense,MARCELO RODRIGUES FONSECA,63.421,1682,26.52,1724,100,0.722,-,27881787.43,23164488.85,39619.92,
Trememb&eacute;,3554805,tremembeense,CLEMENTE ANTONIO DE LIMA NETO,190.93,51173,267.79,53426,99.34,0.785,11.63,249014720,216511249.4,21334.89,
Tr&ecirc;s Fronteiras,3554904,trifonteirano,FL&Aacute;VIO LUIZ RENDA DE OLIVEIRA,151.594,6804,44.88,7060,100,0.753,46.15,43216113.91,40296093.8,22854.9,
Tuiuti,3554953,tuiutiense,ALEXANDRE TADEU GON&Ccedil;ALVES,126.731,6778,53.48,6976,100,0.728,-,44360992.74,35808668.27,35361.76,
Tup&atilde;,3555000,tup&atilde;ense,RENAN VICTOR PONTELLI,627.986,63928,101.80,65433,99.76,0.771,6.23,362353998.1,347767171.6,48934.77,
Tupi Paulista,3555109,tupiense,JULIANO VIGILATO GUIRO,244.663,15854,64.77,16259,100,0.769,29.63,89255720.22,84148237.6,28190.85,
Turi&uacute;ba,3555208,turiubano,JORGE AUGUSTO MOLINA,153.492,1818,11.86,1835,100,0.751,-,39625031.18,33126664.38,48455.04,
Turmalina,3555307,turmalinense,PRISCILLA TATIANA DIAS MASSONI,147.797,1669,11.29,1662,98.05,0.736,-,34199345.76,31887278.24,60051.58,
Ubarana,3555356,ubaranense,VANDERLEI RODRIGUES DA CRUZ,209.861,5365,25.56,5458,99.57,0.700,16.39,58361532.56,51146832.21,55684.23,
Ubatuba,3555406,ubatubano,FLAVIA COMITTE DO NASCIMENTO,708.246,92981,131.31,97096,98.38,0.751,14.06,758915655.9,767763652.7,37716.51,
Ubirajara,3555505,ubirajarense,LEILA ALVIM BORDIM,282.179,5132,18.19,5289,99.3,0.727,53.57,44225819.7,38501835.74,39171.13,
Uchoa,3555604,uchoense,JOS&Eacute; CLAUDIO MARTINS,256.982,10394,41.18,10670,98.89,0.721,10.87,78984378.37,76836386.29,50204.3,
Uni&atilde;o Paulista,3555703,uni&atilde;o-paulistense,KENDREA ALVES PAPILE CAVAT&Atilde;O,79.056,1603,20.28,1628,100,0.749,-,31777578.18,29844094.66,45067.96,
Ur&acirc;nia,3555802,uraniense,APARECIDO FAZZIO,209.262,8833,42.21,8973,100,0.746,20.83,50557382.53,49183901.01,41505.75,
Uru,3555901,uruense,ROBSON EDUARDO FORTE,146.901,1387,9.44,1424,98.98,0.712,-,31729593.42,25909024.71,48125.22,
Urup&ecirc;s,3556008,urupeense,ROBERTO CACCIARI FILHO,323.916,13744,42.43,14073,98.64,0.745,24.39,99988088.55,89898587.35,47084.91,
Valentim Gentil,3556107,valentim-gentilense,CLAUDINEI CARVASSAN RODRIGUES,149.741,14098,94.15,14634,99.62,0.735,25.16,91230750.97,79932871.44,40122.94,
Valinhos,3556206,valinhense,FRANKLIN DUARTE DE LIMA,148.72,126373,850.78,132258,99.2,0.819,4.8,1193806483,1123338349,80718.99,
Valpara&iacute;so,3556305,valparaisense,CARLOS ALEXANDRE PEREIRA,857.661,24241,28.26,24779,97.8,0.725,12.35,179525925.2,164488038,58864.2,
Vargem,3556354,vargense,LEODECIO ALVES DE LIMA,142.595,10512,73.72,10863,98.5,0.699,22.9,71478432.01,65391803.03,21119.9,
Vargem Grande do Sul,3556404,vargem-grandense,CELSO LUIS RIBEIRO,267.178,40133,150.21,41256,92.49,0.737,4.04,257623229.5,267114687.6,35672.43,
Vargem Grande Paulista,3556453,vargem-grandense,PITER APARECIDO DOS SANTOS,42.489,50415,1186.54,52352,99.44,0.770,17.65,330798638,297907338.8,69905.64,
V&aacute;rzea Paulista,3556503,varzino,RODOLFO WILSON RODRIGUES BRAGA,35.048,115771,3296.44,119655,95.6,0.759,14.62,560197235.3,513935928.9,40908.88,
Vera Cruz,3556602,vera-cruzense,RODOLFO SILVA DAVOLI,247.716,10176,41.08,10274,99,0.754,34.09,65511066.22,65617719.73,29756.74,
Vinhedo,3556701,vinhedense,DARIO PACHECO DE MORAIS,80.208,76540,945.52,79089,98.85,0.817,6.35,1052107691,996046008.8,192052.06,
Viradouro,3556800,viradourense,NILTON AUGUSTO ALVES FILHO,217.726,17414,79.98,17685,99.65,0.739,-,146397905.2,128184365.2,32378.31,
Vista Alegre do Alto,3556909,vista-alegrense,NELSON ANTONIO ROZANI,95.429,8109,84.97,8368,100,0.744,10.87,69193586.64,62391758.77,87056.5,
Vit&oacute;ria Brasil,3556958,vitoriabrasiliense,PAULO HENRIQUE MIOTTO,49.832,1794,36.00,1828,100,0.725,-,28525618.55,23844275.85,35942.63,
Votorantim,3557006,votorantinense,WEBER MAGANHATO JUNIOR,184.186,127923,694.53,133510,98.58,0.767,14.65,653005119,770176830.4,40724.92,
Votuporanga,3557105,votuporanguense,JORGE AUGUSTO SEBA,420.703,96634,229.70,100568,98.32,0.790,9.62,646686502.9,547566546.7,47418.12,
Zacarias,3557154,zacariense,HEDER JEAN BRUNO DE OLIVEIRA,319.056,2692,8.44,2773,99.65,0.729,-,55781324.55,41167216.12,65959.25,
Chavantes,3557204,chavantense,LUIZ FILIPE DE PAULA JACINTO,188.727,12211,64.70,12415,98.47,0.729,7.41,75415988.22,68544054.11,39081.16,
Estiva Gerbi,3557303,estivense,MARCIO ROBERTO PAVAN,74.144,11295,152.34,11609,98.94,0.740,7.75,94700600.58,85029540.54,47119.25,

"<table class=""fontes-container""><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE", 2023</td></tr><tr><td>Popula&ccedil;&atilde;o no &uacute;ltimo censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Popula&ccedil;&atilde;o estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
